channel_id,channel_number,node,lolo,lomed,lohi,medlo,medmed,medhi,hilo,himed,hihi
160,172,140,0.8425976125411516,-1,-1,0.8172604226943115,0.7947271359938133,0.8164851633762708,0.8557321846772342,0.8275411915552398,0.7851445012661808
161,173,141,0.8246355408812616,-1,-1,0.7959064132463322,0.7715577191929818,0.7957817327940675,0.8426896790242808,0.8098790361038807,0.7641108691642813
162,174,142,0.8031939393399273,-1,-1,0.7733215200216129,0.7466256519810373,0.7735905686172057,0.8262387853092624,0.7902278176309593,0.7386529609368838
163,175,143,0.7281094928594147,-1,-1,0.6982034903157036,0.6550036136690718,0.7157863124596001,0.7812036821906806,0.7247660349217137,0.646276780339348
164,176,144,0.7503414963314107,-1,-1,0.7232858706035317,0.6855818108028848,0.7430328800003612,0.8015726396312784,0.7539044141683195,0.6849953415608535
165,177,145,0.7569727073680298,-1,-1,0.723590829817999,0.6940695163856263,0.7369190966860651,0.7907663127405967,0.7484985701623007,0.6887226588386901
166,178,124,0.7340780843137372,-1,-1,0.698371178834056,0.6645259257852878,0.7014520774344978,0.7638449387374947,0.7187268134295316,0.6528808577341118
167,179,125,0.7145317704367234,-1,-1,0.6900508793856946,0.6639001804010333,0.6565306950140016,0.7064481791341057,0.7131699883590612,0.6954316723100644
168,180,146,0.9999999999999984,-1,-1,0.9999999999999987,0.9999999999999994,0.9999999999999998,0.9999999999999999,0.9999999999999997,0.9999999999999996
169,181,147,0.9610264922826814,-1,-1,0.9551015726244892,0.9511691675598847,0.9602316677691393,0.9675474811945786,0.9604881578037043,0.9507197719243189
170,182,148,0.9608176281871945,-1,-1,0.9548400130894394,0.9508655192940566,0.9602423510934255,0.967591794008376,0.9606563767147626,0.9503138583238208
171,183,149,0.7067016521123349,-1,-1,0.6790674065963128,0.6586602647190364,0.7235504789308689,0.785189395339386,0.7350108726918997,0.725303433995787
172,184,150,0.9999999999999998,-1,-1,0.9999999999999976,1.0,1.0000000000000004,9.416709480221479e-13,0.9999999999999993,0.9999999999999992
173,185,151,0.9999999999999993,-1,-1,0.999999999999998,0.9999999999999991,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9999999999999996
174,186,152,0.9834563733492243,-1,-1,0.9870737527544503,0.9850497094043107,0.9680023913367259,0.9766295549088718,0.983935480957,0.979030079693003
175,187,153,0.9839473132844362,-1,-1,0.9878636411031662,0.9857427753614262,0.9684402510033804,0.9767426319369382,0.984181825644357,0.9798538614933835
176,188,154,0.9848937655857599,-1,-1,0.9883891754501916,0.9870652108329178,0.969633459053594,0.9770620048973745,0.9851027461452176,0.980726052945438
177,189,155,0.9854681784710628,-1,-1,0.9892320982528431,0.9873774564720549,0.9702031012188395,0.9767400831482425,0.9855668969112711,0.9811754401937719
178,190,156,0.9858267322092231,-1,-1,0.989568203386603,0.988392090393386,0.9709638061070701,0.9767925394640764,0.9859558648426979,0.9819479830405022
179,191,157,0.9857217823559654,-1,-1,0.989136626261865,0.9889947726542573,0.971541982440459,0.9770742333782606,0.9863768755967735,0.9824331770619023
180,192,158,0.9852962572512808,-1,-1,0.9874378277244981,0.9889451849231189,0.9723056940935876,0.977908795534568,0.9870760282856862,0.9832726597503046
181,193,159,0.9850280048964772,-1,-1,0.9866138306538134,0.9888417383057294,0.9724521787906953,0.978357398500771,0.9873182321698036,0.9837400924724682
182,194,160,0.9846823085805446,-1,-1,0.9860462264351446,0.9884183351248828,0.9725171146547994,0.9787914333101209,0.9875937447365003,0.9839029236271376
183,195,5,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
184,196,162,0.7841258524021758,-1,-1,0.7666637631630501,0.7260400881372807,0.7514253667846232,0.8360152062892314,0.7964008636069734,0.7700554194940327
185,197,163,0.7758463613784531,-1,-1,0.7568801311373508,0.719047936473264,0.7524848911126991,0.8297625489235628,0.7878130978077923,0.7710875953601969
186,198,164,0.7705390672962443,-1,-1,0.7506272754633302,0.7162187310237585,0.7528812736059467,0.825973196881523,0.7829395179165358,0.7718179587799106
187,199,165,0.7652100398194336,-1,-1,0.7444627980628963,0.7138346063598972,0.7534831014426508,0.82228074680452,0.7796184666284073,0.771750096378161
188,201,166,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
189,202,167,0.7001452880279098,-1,-1,0.6742255434487875,0.6596981999273639,0.7199690926686001,0.7677734456431643,0.7251156000371423,0.7305251833109264
190,203,168,0.7028013333691706,-1,-1,0.676584042523338,0.6605843169864359,0.7188780053224908,0.7720934146762815,0.7275650344853969,0.7294605888462249
191,204,170,0.9999999999999988,-1,-1,0.9999999999999986,1.0000000000000102,1.0000000000000002,1.0000000000000002,1.0000000000000007,0.9999999999999994
